acc_scores,f1_scores,fold_number,dataset_name,classes,dataset_len,percent_labeled_samples,exec_time_secs_9_runs
0.6942,0.7104715016095438,0,imdb_Train,2,25000,0.1,908.0146272182465
0.7124,0.7265119817421074,1,imdb_Train,2,25000,0.1,908.0146272182465
0.6904,0.6984807167900273,2,imdb_Train,2,25000,0.1,908.0146272182465
0.7052,0.7090406632451638,3,imdb_Train,2,25000,0.1,908.0146272182465
0.7008,0.7062058130400629,4,imdb_Train,2,25000,0.1,908.0146272182465
0.7682,0.7786055396370583,0,imdb_Train,2,25000,0.2,908.0146272182465
0.785,0.7924309712299672,1,imdb_Train,2,25000,0.2,908.0146272182465
0.768,0.7702060221870047,2,imdb_Train,2,25000,0.2,908.0146272182465
0.7754,0.7766063258404615,3,imdb_Train,2,25000,0.2,908.0146272182465
0.7724,0.7758960220559277,4,imdb_Train,2,25000,0.2,908.0146272182465
0.8026,0.8118207816968541,0,imdb_Train,2,25000,0.3,908.0146272182465
0.818,0.8233695652173914,1,imdb_Train,2,25000,0.3,908.0146272182465
0.8016,0.8046474990153605,2,imdb_Train,2,25000,0.3,908.0146272182465
0.8144,0.8165282720442862,3,imdb_Train,2,25000,0.3,908.0146272182465
0.8114,0.8133781911735604,4,imdb_Train,2,25000,0.3,908.0146272182465
0.8228,0.8313665778454511,0,imdb_Train,2,25000,0.4,908.0146272182465
0.8374,0.84265531256048,1,imdb_Train,2,25000,0.4,908.0146272182465
0.8228,0.824345757335448,2,imdb_Train,2,25000,0.4,908.0146272182465
0.8406,0.8422094634725796,3,imdb_Train,2,25000,0.4,908.0146272182465
0.8304,0.8310756972111554,4,imdb_Train,2,25000,0.4,908.0146272182465
0.8358,0.842388174313688,0,imdb_Train,2,25000,0.5,908.0146272182465
0.8438,0.8473715067422318,1,imdb_Train,2,25000,0.5,908.0146272182465
0.8344,0.8347305389221557,2,imdb_Train,2,25000,0.5,908.0146272182465
0.8448,0.8453567158230372,3,imdb_Train,2,25000,0.5,908.0146272182465
0.8436,0.8439744612928971,4,imdb_Train,2,25000,0.5,908.0146272182465
0.8404,0.8464794151596767,0,imdb_Train,2,25000,0.6,908.0146272182465
0.8522,0.8556922476078891,1,imdb_Train,2,25000,0.6,908.0146272182465
0.8406,0.8407592407592407,2,imdb_Train,2,25000,0.6,908.0146272182465
0.853,0.8532641245757636,3,imdb_Train,2,25000,0.6,908.0146272182465
0.8512,0.8509018036072143,4,imdb_Train,2,25000,0.6,908.0146272182465
0.8506,0.8556521739130435,0,imdb_Train,2,25000,0.7,908.0146272182465
0.8558,0.8587659157688541,1,imdb_Train,2,25000,0.7,908.0146272182465
0.842,0.841046277665996,2,imdb_Train,2,25000,0.7,908.0146272182465
0.8616,0.8613782051282051,3,imdb_Train,2,25000,0.7,908.0146272182465
0.8582,0.8578303589332265,4,imdb_Train,2,25000,0.7,908.0146272182465
0.8536,0.8584139264990329,0,imdb_Train,2,25000,0.8,908.0146272182465
0.859,0.8613023804839661,1,imdb_Train,2,25000,0.8,908.0146272182465
0.8446,0.843630509156772,2,imdb_Train,2,25000,0.8,908.0146272182465
0.862,0.8613901165126557,3,imdb_Train,2,25000,0.8,908.0146272182465
0.8616,0.860764587525151,4,imdb_Train,2,25000,0.8,908.0146272182465
0.8538,0.8587985319683215,0,imdb_Train,2,25000,0.9,908.0146272182465
0.8626,0.8641487047656714,1,imdb_Train,2,25000,0.9,908.0146272182465
0.8484,0.8468067906224737,2,imdb_Train,2,25000,0.9,908.0146272182465
0.8676,0.8670682730923696,3,imdb_Train,2,25000,0.9,908.0146272182465
0.8628,0.8620273531777956,4,imdb_Train,2,25000,0.9,908.0146272182465
0.8546,0.8594625942393196,0,imdb_Train,2,25000,1.0,908.0146272182465
0.8624,0.8638702018203404,1,imdb_Train,2,25000,1.0,908.0146272182465
0.8514,0.8495037472149078,2,imdb_Train,2,25000,1.0,908.0146272182465
0.868,0.867363344051447,3,imdb_Train,2,25000,1.0,908.0146272182465
0.866,0.8649193548387096,4,imdb_Train,2,25000,1.0,908.0146272182465
