acc_scores,f1_scores,fold_number,dataset_name,classes,dataset_len,percent_labeled_samples,exec_time_secs_9_runs
0.822,0.8194411122654556,0,AG_News_30K_Train,4,30000,0.1,3812.445608139038
0.8291666666666667,0.8271594639365888,1,AG_News_30K_Train,4,30000,0.1,3812.445608139038
0.8278333333333333,0.8256429512410335,2,AG_News_30K_Train,4,30000,0.1,3812.445608139038
0.8325,0.8305557338662499,3,AG_News_30K_Train,4,30000,0.1,3812.445608139038
0.8325,0.8311830049333785,4,AG_News_30K_Train,4,30000,0.1,3812.445608139038
0.855,0.8536320670155467,0,AG_News_30K_Train,4,30000,0.2,3812.445608139038
0.861,0.8597722073665591,1,AG_News_30K_Train,4,30000,0.2,3812.445608139038
0.8558333333333333,0.8544664958968978,2,AG_News_30K_Train,4,30000,0.2,3812.445608139038
0.8621666666666666,0.8610938072182791,3,AG_News_30K_Train,4,30000,0.2,3812.445608139038
0.8648333333333333,0.8641761622129822,4,AG_News_30K_Train,4,30000,0.2,3812.445608139038
0.8746666666666667,0.8738023488464521,0,AG_News_30K_Train,4,30000,0.3,3812.445608139038
0.8745,0.8736740348649358,1,AG_News_30K_Train,4,30000,0.3,3812.445608139038
0.8721666666666666,0.8711736614943566,2,AG_News_30K_Train,4,30000,0.3,3812.445608139038
0.8771666666666667,0.8765577101490419,3,AG_News_30K_Train,4,30000,0.3,3812.445608139038
0.8766666666666667,0.8760896787292289,4,AG_News_30K_Train,4,30000,0.3,3812.445608139038
0.882,0.881394840314531,0,AG_News_30K_Train,4,30000,0.4,3812.445608139038
0.8831666666666667,0.8824891593237473,1,AG_News_30K_Train,4,30000,0.4,3812.445608139038
0.8845,0.8839925511891438,2,AG_News_30K_Train,4,30000,0.4,3812.445608139038
0.884,0.883499529099409,3,AG_News_30K_Train,4,30000,0.4,3812.445608139038
0.879,0.8784979325520026,4,AG_News_30K_Train,4,30000,0.4,3812.445608139038
0.8888333333333334,0.888281670142226,0,AG_News_30K_Train,4,30000,0.5,3812.445608139038
0.8861666666666667,0.8854891773012331,1,AG_News_30K_Train,4,30000,0.5,3812.445608139038
0.8883333333333333,0.8878709117780008,2,AG_News_30K_Train,4,30000,0.5,3812.445608139038
0.8915,0.8911438820919169,3,AG_News_30K_Train,4,30000,0.5,3812.445608139038
0.889,0.8886235418387242,4,AG_News_30K_Train,4,30000,0.5,3812.445608139038
0.892,0.8915517204988761,0,AG_News_30K_Train,4,30000,0.6,3812.445608139038
0.889,0.8883920441380512,1,AG_News_30K_Train,4,30000,0.6,3812.445608139038
0.8908333333333334,0.8903787152365406,2,AG_News_30K_Train,4,30000,0.6,3812.445608139038
0.892,0.8915828140778969,3,AG_News_30K_Train,4,30000,0.6,3812.445608139038
0.89,0.8895445891610089,4,AG_News_30K_Train,4,30000,0.6,3812.445608139038
0.8933333333333333,0.8928112508401849,0,AG_News_30K_Train,4,30000,0.7,3812.445608139038
0.892,0.8913985631725296,1,AG_News_30K_Train,4,30000,0.7,3812.445608139038
0.8953333333333333,0.8949299895265461,2,AG_News_30K_Train,4,30000,0.7,3812.445608139038
0.8955,0.8951131791675055,3,AG_News_30K_Train,4,30000,0.7,3812.445608139038
0.8946666666666667,0.8942406131718773,4,AG_News_30K_Train,4,30000,0.7,3812.445608139038
0.8936666666666667,0.8932076214013153,0,AG_News_30K_Train,4,30000,0.8,3812.445608139038
